sentence,aspect_term,category,opinion_term,polarity,implicitness
"never swaying , never a bad meal , never bad service . . .",service .,general,never bad service,positive,EAEO
"never swaying , never a bad meal , never bad service . . .",implicit,general,implicit,positive,IAIO
you should travel from the bronx to try it . . .,implicit,general,implicit,positive,IAIO
"great food , great wine list , great service in a great neighborhood . . .","food ,",quality,great food,positive,EAEO
"great food , great wine list , great service in a great neighborhood . . .","wine list ,",ambience,great wine,positive,EAEO
"great food , great wine list , great service in a great neighborhood . . .",service in,general,great service,positive,EAEO
"great food , great wine list , great service in a great neighborhood . . .",neighborhood .,general,great neighborhood,positive,EAEO
so delicious ! ! ! ! ! !,implicit,quality,delicious !,positive,IAEO
patsy ' s pizza = true love,patsy ' s pizza =,general,true love,positive,EAEO
hands down the best pizza on the planet .,pizza on,quality,best pizza,positive,EAEO
"in about 12 minutes , the thing is gone .",implicit,quality,implicit,positive,IAIO
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs were,quality,juicy and,positive,EAEO
the hot dogs were juicy and tender inside and had plenty of crunch and snap on the outside .,hot dogs were,quality,tender inside,positive,EAEO
great toppings definitely a place you need to check out for late night munchies or a mid day boost !,toppings definitely,quality,great toppings,positive,EAEO
great toppings definitely a place you need to check out for late night munchies or a mid day boost !,place you,general,implicit,positive,EAIO
great taste,implicit,quality,great taste,positive,IAEO
"great , original taste .",implicit,quality,"great ,",positive,IAEO
"great , original taste .",implicit,quality,original taste,positive,IAEO
"for me dishes a little oily , but overall dining experience good .",dishes a,quality,"oily ,",negative,EAEO
"for me dishes a little oily , but overall dining experience good .",implicit,general,good .,positive,IAEO
helpful service and average price per dish $ 10 .,service and,general,helpful service,positive,EAEO
helpful service and average price per dish $ 10 .,dish $,price,average price,neutral,EAEO
great food,food,quality,great food,positive,EAEO
this place has great indian chinese food .,indian chinese food .,quality,great indian,positive,EAEO
the flavors are amazing and the value is phenomenal .,implicit,quality,amazing and,positive,IAEO
the flavors are amazing and the value is phenomenal .,implicit,price,phenomenal .,positive,IAEO
"be prepared to wait , because the place is pretty tiny .",place is,general,tiny .,negative,EAEO
"be prepared to wait , because the place is pretty tiny .",place is,general,tiny .,negative,EAEO
"also , they do not take credit card so come with cash !",implicit,general,implicit,neutral,IAIO
"even though the place is not beautiful , the food speaks for itself .",place is,general,"not beautiful ,",negative,EAEO
"even though the place is not beautiful , the food speaks for itself .",food speaks,quality,speaks for itself .,positive,EAEO
"best indian chinese in the city , by far !",indian chinese in,quality,best indian,positive,EAEO
amazing my favorite ! ! !,implicit,general,favorite !,positive,IAEO
amazing my favorite ! ! !,implicit,general,amazing my,positive,IAEO
"i came across village underground by accident , now i go there all the time .",village underground by,general,implicit,positive,EAIO
"the service is amazing , i ' ve had different waiters and they were all nice , which is a rare thing in nyc .",service is,general,"amazing ,",positive,EAEO
"the service is amazing , i ' ve had different waiters and they were all nice , which is a rare thing in nyc .",waiters and,general,"nice ,",positive,EAEO
"the dj is awesome , i have been there for my birthday and a bunch of other times with friends and i keep going back .",dj is,general,"awesome ,",positive,EAEO
"the dj is awesome , i have been there for my birthday and a bunch of other times with friends and i keep going back .",implicit,general,implicit,positive,IAIO
you can get a table without a reservation if you get there early i they do n ' t make you by bottles .,implicit,general,implicit,positive,IAIO
which lets face it . . . . at times it ' s a good thing .,implicit,general,good thing,positive,IAEO
in the end you end up with a fair tab and nothing but a great time ! ! !,implicit,price,fair tab,positive,IAEO
in the end you end up with a fair tab and nothing but a great time ! ! !,implicit,general,great time,positive,IAEO
highly recommended !,implicit,general,recommended !,positive,IAEO
"one of the best , if not the best , restaurants in park slope ( and ny in general )",implicit,general,"best ,",positive,IAEO
everything on the menu is great .,menu is,quality,great .,positive,EAEO
this establishment is the real deal .,establishment is,general,real deal .,positive,EAEO
"wish ny had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .","food ,",quality,"intimate ,",positive,EAEO
"wish ny had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .","food ,",quality,superb food,positive,EAEO
"wish ny had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",implicit,general,"homey ,",positive,IAEO
"wish ny had more of these kind of places : intimate , superb food , homey , top notch all the way around , certainly worth the wait .",implicit,general,top notch all,positive,IAEO
but $ 500 for a dinner for two that did n ' t include wine ?,dinner for two that,price,implicit,negative,EAIO
"look , the appetizers were really good .",appetizers were,quality,good .,positive,EAEO
the entree was also very good .,entree was,quality,good .,positive,EAEO
"ca n ' t argue about that , but they are clearly over priced .",implicit,price,over priced .,negative,IAEO
what you are paying for is the environment and the name .,environment and,general,implicit,neutral,EAIO
what you are paying for is the environment and the name .,implicit,general,implicit,neutral,IAIO
what you are paying for is the environment and the name .,implicit,price,implicit,negative,IAIO
"yes , the place is classy and beautiful , but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while .",place is,general,classy and,negative,EAEO
"yes , the place is classy and beautiful , but they most certainly target the uber whealthy not the common joe that wants to go all out every once in a while .",place is,general,"beautiful ,",negative,EAEO
which of course is not real kobe but wagyu beef .,implicit,quality,implicit,negative,IAIO
surprised that a place of this caliber would advertise it as kobe .,implicit,general,implicit,negative,IAIO
vanison was good but not amazing .,vanison was,quality,good but,positive,EAEO
vanison was good but not amazing .,vanison was,quality,not amazing .,neutral,EAEO
bison was quite excellent however .,bison was,quality,excellent however,positive,EAEO
dessert : pure disaster .,dessert :,quality,disaster .,negative,EAEO
just not good at all .,implicit,quality,not good at,negative,IAEO
some pineapple covered in a glaze of some kind and some pear tart thing not impressive at all .,implicit,ambience,not impressive at,negative,IAEO
some pineapple covered in a glaze of some kind and some pear tart thing not impressive at all .,implicit,quality,not impressive at,negative,IAEO
"i read reviews that called the restaurant too expensive and i thought to myself , but may be it is worth it .",restaurant too,price,expensive and,negative,EAEO
"i read reviews that called the restaurant too expensive and i thought to myself , but may be it is worth it .",restaurant too,general,expensive and,negative,EAEO
"the four seasons has history and it is a sort of landmark of new york city restaurants , but trust me , they will charge you through the nose just so that you can say ` ` i ' ve been to the four seasons restaurant ' ' .",the four seasons has,general,implicit,neutral,EAIO
"the four seasons has history and it is a sort of landmark of new york city restaurants , but trust me , they will charge you through the nose just so that you can say ` ` i ' ve been to the four seasons restaurant ' ' .",the four seasons has,price,implicit,negative,EAIO
"all in all , the food was great ( except for the dessserts ) .",food was,quality,great (,positive,EAEO
"all in all , the food was great ( except for the dessserts ) .",dessserts ),quality,except for,negative,EAEO
"if you are going for the food , it will not be worth it .","food ,",quality,worth it,negative,EAEO
"you would think they would make up for it with service , sadly , no .","service ,",general,"sadly ,",negative,EAEO
"service was just ok , it is not what you ' d expect for $ 500 .",service was,general,"ok ,",negative,EAEO
"service was just ok , it is not what you ' d expect for $ 500 .",implicit,price,implicit,negative,IAIO
terrible waste of money . . scammers,implicit,general,scammers,negative,IAEO
terrible waste of money . . scammers,implicit,price,terrible waste,negative,IAEO
i agree that dining at casa la femme is like no other dining experience !,casa la femme is,general,implicit,negative,EAIO
i am actually offended to have spent so much money on such a bad experience .,implicit,general,bad experience,negative,IAEO
i am actually offended to have spent so much money on such a bad experience .,implicit,price,offended to,negative,IAEO
i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time .,casa la femme and,general,offended by,negative,EAEO
i literally just got back home after visiting casa la femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time .,casa la femme and,price,offended by,negative,EAEO
"our visit their to say the least , was an unpleasant and costly experience !",implicit,general,unpleasant and,negative,IAEO
"our visit their to say the least , was an unpleasant and costly experience !",implicit,price,costly experience,negative,IAEO
and even more so unpleasant because it was so costly for such an unpleasant experience .,implicit,general,unpleasant because,negative,IAEO
and even more so unpleasant because it was so costly for such an unpleasant experience .,implicit,general,unpleasant experience,negative,IAEO
and even more so unpleasant because it was so costly for such an unpleasant experience .,implicit,price,costly for,negative,IAEO
we did arrive late for our reservation so i can not complain too much about the wait for a table .,wait for,general,implicit,neutral,EAIO
although we were told 10 - 15 minutes and it was more like 45 minutes .,implicit,general,implicit,negative,IAIO
we were ushered to the bar to wait momentarily and upon arrival were so excited .,implicit,general,excited .,positive,IAEO
the place is beautiful !,place is,general,beautiful !,positive,EAEO
the hostess was very pleasant .,hostess was,general,pleasant .,positive,EAEO
our experience did not ever get any better .,implicit,general,implicit,negative,IAIO
for each course we waited over 1 / 2 hour to 45 minutes and were never offered a drink .,implicit,general,implicit,negative,IAIO
we also asked for hooka six times and the waiter kept telling us one minute and never returning with the hooka .,waiter kept,general,implicit,negative,EAIO
after the 4th time i asked again and the waiter than said after our dinner .,waiter than,general,implicit,negative,EAIO
we asked for beverages and never received them .,implicit,general,implicit,negative,IAIO
we asked for sides which the waiter than admitted that he forgot to put in that part of our order .,waiter than,general,forgot to,negative,EAEO
my chicken was inedible as there were so many fatty lumps which i had to keep spitting out into my napkin .,chicken was,quality,inedible as,negative,EAEO
i would not expect this for a $ 55 dinner .,dinner .,quality,implicit,negative,EAIO
i would not expect this for a $ 55 dinner .,dinner .,price,implicit,negative,EAIO
by the time we finished our dinner we still had not received one beverage nor hooka !,implicit,general,implicit,negative,IAIO
what we did do was waste 3 hours being trapped in a table waiting and waiting for food and drinks and hooka . . some of which we never received !,implicit,general,implicit,negative,IAIO
the only beverage we did receive was water in dirty glasses !,implicit,general,dirty glasses,negative,IAEO
to top it all off . . the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant .,implicit,general,implicit,negative,IAIO
to top it all off . . the main reason we came to your restaurant was for the belly dancers and missed the first show as we were not seated yet and the 2nd belly dancer only danced at two tables in the back of the restaurant and never made it around to the other half of the restaurant .,implicit,general,implicit,negative,IAIO
"by the time we left our wallets were empty and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !",implicit,price,implicit,negative,IAIO
"by the time we left our wallets were empty and so were our stomachs and we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !",implicit,general,implicit,negative,IAIO
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible !,meal was,quality,inedible !,negative,EAEO
if it seemed possible to do so while there i would have fought my bill since my dinner portion of my meal was inedible !,implicit,price,implicit,negative,IAIO
"i have never left a restaurant feeling as if i was abused , and wasted my hard earned money .",restaurant feeling,general,"abused ,",negative,EAEO
"i have never left a restaurant feeling as if i was abused , and wasted my hard earned money .",restaurant feeling,price,"abused ,",negative,EAEO
my husbands birthday and my sons was not as it was intended . . . and we drove two hours to spend too much money to be treated terribly !,implicit,general,implicit,negative,IAIO
my husbands birthday and my sons was not as it was intended . . . and we drove two hours to spend too much money to be treated terribly !,implicit,price,implicit,negative,IAIO
my husbands birthday and my sons was not as it was intended . . . and we drove two hours to spend too much money to be treated terribly !,implicit,general,terribly !,negative,IAEO
i wish i could be refunded !,implicit,general,implicit,negative,IAIO
do n ' t go with a larger group than 4 !,implicit,general,implicit,negative,IAIO
"at first we were a little taken aback , as this seemed to present a problem , although the restaurant looked fairly empty , but they hastily put the table together for us .",implicit,general,implicit,positive,IAIO
the menu is fairly simple without much descriptions .,menu is,ambience,simple without,neutral,EAEO
"there was no tap beer that evening , which was a disappointment .",beer that,ambience,disappointment .,negative,EAEO
"not much of a selection of bottled beer either , we went with brahma .",selection of bottled beer either,ambience,not much of,negative,EAEO
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,fried oysters and clams were,quality,delicious but,positive,EAEO
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,fried oysters and clams were,ambience,tiny portion,negative,EAEO
the appetizers we ordered were served quickly - an order of fried oysters and clams were delicious but a tiny portion ( maybe 3 of each ) .,implicit,general,quickly -,positive,IAEO
"the lobster knuckles ( special of the day ) were ok , but pretty tasteless .",lobster knuckles (,ambience,"ok ,",negative,EAEO
"the lobster knuckles ( special of the day ) were ok , but pretty tasteless .",lobster knuckles (,ambience,tasteless .,negative,EAEO
i believe there were 2 shrimp in the ` ` salt encrusted shrimp ' ' appetizer .,` ` salt encrusted shrimp ' ' appetizer .,ambience,implicit,negative,EAIO
"she replied ` ` well it would be more convenient for us if you ordered now , since you are a larger party , and it might get crowded . ' '",implicit,general,implicit,negative,IAIO
the food arrived in about 15 minutes .,implicit,general,implicit,neutral,IAIO
i had the thai style fried sea bass . . . which was very good .,thai style fried sea bass .,quality,good .,positive,EAEO
"everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice !","food ,",quality,happy with,positive,EAEO
"everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice !","grilled mahi mahi ,",quality,implicit,negative,EAIO
"everyone seemed generally happy with their food , except my brother who had the grilled mahi mahi , seemingly drenched in grapfruit juice !","grilled mahi mahi ,",ambience,implicit,negative,EAIO
i heard the lobster roll was excellent .,lobster roll was,quality,excellent .,positive,EAEO
"they seemed to continue to rush us along , taking plates without asking if we were done ( my sister still had her fork in hand ) .",implicit,general,implicit,negative,IAIO
"all in all the food was good - a little on the expensive side , but fresh .",food was,quality,good -,positive,EAEO
"all in all the food was good - a little on the expensive side , but fresh .",food was,price,expensive side,negative,EAEO
"all in all the food was good - a little on the expensive side , but fresh .",food was,quality,fresh .,positive,EAEO
service not the friendliest to our ` ` large party ' ' !,service not,general,not the friendliest to,negative,EAEO
probably would not go back here .,implicit,general,implicit,negative,IAIO
great indian food,indian food,quality,great indian,positive,EAEO
"food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i ' ve had .",food was,quality,amazing -,positive,EAEO
"food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i ' ve had .",food was,quality,love indian,positive,EAEO
"food was amazing - i love indian food and eat it quite regularly , but i can say this is one of the best i ' ve had .",food was,quality,best i,positive,EAEO
"very ` ` normal indian food ' ' , but done really well .",indian food ',ambience,normal indian,neutral,EAEO
"very ` ` normal indian food ' ' , but done really well .",indian food ',quality,well .,positive,EAEO
"also , waiters try to push more food on you , like suggest things as if they are complimentary when they actually cost $ .",waiters try,general,implicit,negative,EAIO
"but if you ' re prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for indian food",place to,price,implicit,negative,EAIO
"but if you ' re prepared to spend some $ and remember to ask if something they offer is complimentary , then this is the place to go for indian food",indian food,quality,implicit,positive,EAIO
one of the best,implicit,general,best,positive,IAEO
"bukhara grill , the tagline says it all . . ` ` indian spice rave ' '","bukhara grill ,",general,implicit,positive,EAIO
the lunch buffet is expensive but is deff worth it .,lunch buffet is,price,expensive but,positive,EAEO
the lunch buffet is expensive but is deff worth it .,lunch buffet is,price,worth it,positive,EAEO
we have gone for dinner only a few times but the same great quality and service is given .,dinner only,quality,great quality,positive,EAEO
we have gone for dinner only a few times but the same great quality and service is given .,service is,general,great quality,positive,EAEO
bukhara is on my top 5 indian places in nyc,bukhara is,general,top 5,positive,EAEO
wretched and retching,implicit,general,wretched and,negative,IAEO
wretched and retching,implicit,general,retching,negative,IAEO
i have never been so disgusted by both food an service .,food an,quality,disgusted by,negative,EAEO
i have never been so disgusted by both food an service .,service .,general,disgusted by,negative,EAEO
for starters they delivered us someone else ' s order .,implicit,general,implicit,negative,IAIO
"however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it ' s your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",kimchee before,quality,"disgusting ,",negative,EAEO
"however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it ' s your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",kimchee before,quality,"slimy ,",negative,EAEO
"however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it ' s your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .",kimchee before,quality,bad piece,negative,EAEO
"however , once i received my predictably mediocre order of what dokebi thinks passes as korean fair , ( sometimes you have to settle when it ' s your only option ) , i got through about half my kimchee before i found a piece of random lettuce accompanied by a far more disgusting , slimy , clearly bad piece of fish skin .","korean fair ,",quality,mediocre order,negative,EAEO
"my main concern was the sanity of the food that was being sent out to myself and others , but i would be lying is i said that as someone who has worked in restaurants since the age of fifteen i was expecting at least a minimal effort on the part of the restaurant to amend the situation .",food that,quality,implicit,negative,EAIO
"my main concern was the sanity of the food that was being sent out to myself and others , but i would be lying is i said that as someone who has worked in restaurants since the age of fifteen i was expecting at least a minimal effort on the part of the restaurant to amend the situation .",implicit,general,implicit,negative,IAIO
none was made so i hung up .,implicit,general,implicit,negative,IAIO
less than three minutes passed before i found myself doubled over the toilet .,implicit,quality,implicit,negative,IAIO
"my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .","meal ,",quality,disgusted causing,negative,EAEO
"my girlfriend , being slightly more aggressive , and having been equally disgusted causing her to throw out the remainder of her barely eaten meal , called back only to be informed that i was probably wrong and that it was most likely an oyster , and that we were also blacklisted from their restaurant .",implicit,general,implicit,negative,IAIO
"it was n ' t as if this restaurant had any major bragging points before hand , but now it ' s simply repulsive .",restaurant had,general,repulsive .,negative,EAEO
gorgeous place ideal for a romantic dinner,place ideal,general,gorgeous place,positive,EAEO
gorgeous place ideal for a romantic dinner,place ideal,general,ideal for,positive,EAEO
gorgeous place ideal for a romantic dinner,place ideal,general,gorgeous place,positive,EAEO
gorgeous place ideal for a romantic dinner,place ideal,general,ideal for,positive,EAEO
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .,four course prix fix menu which,quality,enjoyed a,positive,EAEO
i book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .,white organza tent which,general,gorgeous white,positive,EAEO
i completely recommend casa la femme for any special occasion and to really impress your date .,casa la femme for,general,recommend casa,positive,EAEO
more williamsburg garbage,implicit,general,implicit,negative,IAIO
the dishes came out around 5 minutes apart .,implicit,general,implicit,negative,IAIO
"the bibimbap was average , but the stone bowl was n ' t even close to sizzling .",bibimbap was,quality,"average ,",neutral,EAEO
"the bibimbap was average , but the stone bowl was n ' t even close to sizzling .",stone bowl was,quality,n ' t even close to sizzling .,negative,EAEO
too bad i had paid an extra $ 2 for the stone bowl .,stone bowl .,price,bad i,negative,EAEO
the nakgi - bokum was horrible .,nakgi - bokum was,quality,horrible .,negative,EAEO
easily the worst stir - fried squid i ' ve ever tasted .,stir - fried squid i,quality,worst stir,negative,EAEO
the sauce tasted more like chinese fast food than decent korean .,sauce tasted,quality,implicit,negative,EAIO
"the side dishes were passable , and i did get a refill upon request .",side dishes were,quality,"passable ,",positive,EAEO
the real problem i had with this place was the complete lack of service .,service .,general,lack of service,negative,EAEO
she just nodded and walked off .,implicit,general,implicit,negative,IAIO
"as to my comment about the food , no apology or acknowledgment was made .",implicit,general,implicit,negative,IAIO
my wife had barely touched that mess of a dish .,dish .,quality,mess of,negative,EAEO
we were charged full price .,implicit,general,full price,negative,IAEO
lives up to the hype,implicit,general,implicit,positive,IAIO
we ' ve tried before but it always packed and does n ' t take reservations .,implicit,general,implicit,neutral,IAIO
it was well worth the wait .,implicit,general,worth the,positive,IAEO
the wife had the risotto which was amazing .,risotto which,quality,amazing .,positive,EAEO
"it does n ' t look appetizing as it ' s covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal .",implicit,ambience,implicit,negative,IAIO
"it does n ' t look appetizing as it ' s covered in squid ink and it turns your lips and teeth black , but the taste was phenomenal .",implicit,quality,phenomenal .,positive,IAEO
the farro salad and the mashed yukon potatoes were also extremely tasty .,farro salad and,quality,tasty .,positive,EAEO
the farro salad and the mashed yukon potatoes were also extremely tasty .,mashed yukon potatoes were,quality,tasty .,positive,EAEO
i love margherita pizza – i looove east village pizza,margherita pizza –,general,love margherita,positive,EAEO
i love margherita pizza – i looove east village pizza,east village pizza,quality,looove east,positive,EAEO
"love this place , every time we are in the city this is one of the places we always go .","place ,",general,love this,positive,EAEO
a quintessential slice of nyc pizza .,slice of nyc pizza .,quality,quintessential slice,neutral,EAEO
"the crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",crust has,quality,great bite,positive,EAEO
"the crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",crust has,quality,good chew,positive,EAEO
"the crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",sauce is,quality,light with,positive,EAEO
"the crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",sauce is,quality,nice acidity,positive,EAEO
"the crust has a great bite and a good chew , the sauce is light with a nice acidity to it , the salt from the cheese is great , really heightens the flavor of all the other components .",cheese is,quality,"great ,",positive,EAEO
"personally i like the margherita pizza better , but they are all good .",margherita pizza better,quality,like the,positive,EAEO
"personally i like the margherita pizza better , but they are all good .",margherita pizza better,quality,good .,positive,EAEO
"personally i like the margherita pizza better , but they are all good .",implicit,quality,good .,positive,IAEO
possibly the most romantic restaurant in the city,restaurant in,general,romantic restaurant,positive,EAEO
"this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city !",modern japanese brasserie (,general,favorite modern,positive,EAEO
"this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city !",modern japanese brasserie (,general,romantic restaurants,positive,EAEO
"this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city !",modern japanese brasserie (,general,favorite modern,positive,EAEO
"this is undoubtedly my favorite modern japanese brasserie ( that don ’ t serve sushi ) , and in my opinion , one of the most romantic restaurants in the city !",modern japanese brasserie (,general,romantic restaurants,positive,EAEO
"not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate decor will make you feel like you ’ re no longer in the city .","spot ,",general,hidden spot,neutral,EAEO
"not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate decor will make you feel like you ’ re no longer in the city .","unmarked wooden doors ,",general,implicit,positive,EAIO
"not only is it an adventure getting to this somewhat hidden spot , once you enter the unmarked wooden doors , the zen and intimate decor will make you feel like you ’ re no longer in the city .",decor will,general,intimate decor,positive,EAEO
"if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .",private booths where,general,ushered to,positive,EAEO
"if you ’ re planning to come here , make sure that your date is someone whom you really like since you ’ ll be ushered to private booths where there will be no people or food watching ( choose the ones on the ground level that have glass ceilings so you may see the stars in the sky ! ) .",glass ceilings so,general,implicit,positive,EAIO
it ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth !,implicit,general,implicit,positive,IAIO
it ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth !,waiter opens,general,cute ‘,positive,EAEO
"my party had the bbe $ 29 fixe prix menu , which was such a wonderful deal since it also came with a flight of sake !","bbe $ 29 fixe prix menu ,",price,implicit,positive,EAIO
"my party had the bbe $ 29 fixe prix menu , which was such a wonderful deal since it also came with a flight of sake !","bbe $ 29 fixe prix menu ,",ambience,wonderful deal,positive,EAEO
we started off with a delightful sashimi amuse bouche .,sashimi amuse bouche .,quality,delightful sashimi,positive,EAEO
"i picked the grilled black cod as my entree , which i absolutely devoured while someone commented that the grilled salmon dish was better .",grilled black cod as,quality,devoured while,positive,EAEO
"i picked the grilled black cod as my entree , which i absolutely devoured while someone commented that the grilled salmon dish was better .",grilled salmon dish was,quality,better .,positive,EAEO
the entrees were served with miso soup and rice .,entrees were,ambience,implicit,neutral,EAIO
"for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .",frozen black sesame mousse (,quality,interesting but,neutral,EAEO
"for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .",frozen black sesame mousse (,quality,extraordinary ),neutral,EAEO
"for desserts , we tried the frozen black sesame mousse ( interesting but not extraordinary ) and matcha ( powdered green tea ) and blueberry cheesecake , which was phenomenal .","matcha ( powdered green tea ) and blueberry cheesecake ,",quality,phenomenal .,positive,EAEO
"i do n ' t usually visit the same establishment more than once , what more twice , but i ' ll come to zenkichi anytime for a quiet , unhurried and memorable dinner .",zenkichi anytime,general,"quiet ,",positive,EAEO
"i do n ' t usually visit the same establishment more than once , what more twice , but i ' ll come to zenkichi anytime for a quiet , unhurried and memorable dinner .",zenkichi anytime,general,unhurried and,positive,EAEO
"i do n ' t usually visit the same establishment more than once , what more twice , but i ' ll come to zenkichi anytime for a quiet , unhurried and memorable dinner .",zenkichi anytime,general,memorable dinner,positive,EAEO
terrible would be a compliment !,implicit,general,terrible would,negative,IAEO
"the service leaves much to be desired , from feeling like you are rushed the place your order , to being ignored the rest of the night .",service leaves,general,implicit,negative,EAIO
we paid a fixed pricce but got nothing ! !,implicit,general,implicit,negative,IAIO
we never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating .,implicit,general,upset ad,negative,IAEO
we never ate because by close to 2 in the monring we were not served and were too upset ad tired to start eating .,implicit,general,tired to,negative,IAEO
"they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",service we,general,horrible service,negative,EAEO
"they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",drinks adn,price,implicit,negative,EAIO
"they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",pita bread !,price,implicit,negative,EAIO
"they are extremely rude , not even apologizing for the horrible service we got and handing us a bill well over $ 500 for some drinks adn their pita bread !",implicit,general,"rude ,",negative,IAEO
stay away,implicit,general,implicit,negative,IAIO
great shabu shabu,shabu shabu,quality,great shabu,positive,EAEO
i love it .,implicit,general,love it,positive,IAEO
"but for the shabu shabu , you wo n ' t find much better in ny .","shabu shabu ,",quality,implicit,positive,EAIO
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",meat is,quality,"fresh ,",positive,EAEO
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",sauces are,quality,"great ,",positive,EAEO
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",kimchi and,price,free with,positive,EAEO
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",salad free,price,free with,positive,EAEO
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",meal and,ambience,implicit,positive,EAIO
"the meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",service is,general,good too,positive,EAEO
dokebi gives williamsburg the right one - two punch of classic korean food and fusion twists like pork belly tacos .,korean food and,quality,classic korean,positive,EAEO
dokebi gives williamsburg the right one - two punch of classic korean food and fusion twists like pork belly tacos .,fusion twists like,quality,implicit,positive,EAIO
dokebi gives williamsburg the right one - two punch of classic korean food and fusion twists like pork belly tacos .,pork belly tacos .,quality,implicit,positive,EAIO
